# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1251a1d73233e587
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,gld_inst_8bit,gld_inst_16bit,gld_inst_32bit,gld_inst_64bit,gld_inst_128bit,gst_inst_8bit,gst_inst_16bit,gst_inst_32bit,gst_inst_64bit,gst_inst_128bit,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,threads instruction executed,dram reads,dram writes
1251fbb4a059ea80,_Z13calculate_e_kPijPfjj10vcd_paramsi,10996.9,5.253,0.667,72,192,1,32,16,1,7680,0,22,0,-1,,0,0,0,19906560,0,0,0,0,7077888,0,0,0,0,55140,14704,1073840,69920,920,0,1201898,0,0,30506,0,1300,12902115,52309,12885374,0,14736,14720,471040,14720,244313062,7700651,3143604,0,884736,2252586,884736,0,0,399651032,2256730,884736
1251fbb4a101bdc0,_Z22interpolate_g_dg_pos_kPfjS_S_S_S_jPKfS1_S1_jS1_jPKiji10vcd_params26smeminfo_interpolate_g_posii,34447.5,6.45,0.667,72,192,1,32,16,1,18432,0,29,0,-1,,0,0,0,33880320,0,0,0,0,23592960,0,0,0,0,148896,76928,0,147996,923,0,4092368,0,0,484036,0,15710,34361387,142013,31566404,0,2420736,14624,467968,0,766004039,23934904,8391768,0,37748736,5819406,6926760,0,0,875766040,5822509,6926760
1251fbb4a30f65e0,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1788.19,7.033,0.333,1,1,1,32,16,1,31744,0,63,1,-1,,0,0,0,5116,0,0,0,0,496,0,0,752,1504,264,16,21072,1016,1,1792,181530,0,2208,1124,48,60,1997317,204,1995292,0,32,16,512,0,20074428,1254502,1008,0,128,60122,128,0,0,22373744,61309,128
1251fbb4a32ab580,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1785.38,3.789,0.333,2,1,1,32,16,1,31744,0,63,1,-1,,0,0,0,10328,0,0,0,0,1008,0,0,752,1504,268,16,21072,1020,1,1760,181526,0,2216,1124,40,60,1997144,208,1995208,0,32,16,512,0,20013884,1250765,2064,0,428,60006,428,0,0,22371384,59980,428
1251fbb4a345fac0,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1785.76,3.693,0.333,3,1,1,32,16,1,31744,0,63,1,-1,,0,0,0,15544,0,0,0,0,1520,0,0,752,1504,268,16,21072,1020,1,1696,181510,0,2218,1108,37,60,1996882,208,1995016,0,32,16,512,0,20029020,1251261,3128,0,736,56480,740,0,0,22370440,58040,740
1251fbb4a3614100,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1786.34,3.626,0.333,4,1,1,32,16,1,31744,0,63,1,-1,,0,0,0,20760,0,0,0,0,2032,0,0,752,1504,268,16,21072,1020,1,1664,181542,0,2218,1124,39,60,1996776,208,1994968,0,32,16,512,0,20014396,1251091,4216,0,1072,60976,1072,0,0,22369720,56589,1072
1251fbb4a37c8a40,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1788.35,4.05,0.333,5,1,1,32,16,1,31744,0,63,1,-1,,0,0,0,25976,0,0,0,0,2544,0,0,752,1504,268,16,21072,1020,1,1616,181510,0,2218,1092,38,60,1996579,208,1994792,0,32,16,512,0,20018156,1250645,5292,0,1376,60532,1380,0,0,22369696,61600,1380
1251fbb4a397db20,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1787.58,3.596,0.333,6,1,1,32,16,1,31744,0,63,1,-1,,0,0,0,31192,0,0,0,0,3056,0,0,752,1504,268,16,21072,1020,1,1664,181542,0,2212,1124,44,60,1996773,208,1994952,0,32,16,512,0,20010300,1250382,6420,0,1748,61836,1748,0,0,22369992,61888,1748
1251fbb4a3b328a0,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1788.7,3.608,0.333,7,1,1,32,16,1,31744,0,63,1,-1,,0,0,0,36408,0,0,0,0,3568,0,0,752,1504,268,16,21072,1020,1,1696,181526,0,2213,1108,43,60,1996945,208,1995048,0,32,16,512,0,20023708,1250954,7468,0,2044,57641,2040,0,0,22371784,60928,2040
1251fbb4a3ce7a40,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1787.33,3.897,0.333,8,1,1,32,16,1,31744,0,63,1,-1,,0,0,0,41624,0,0,0,0,4080,0,0,752,1504,268,16,21072,1020,1,1664,181526,0,2216,1124,40,60,1996830,208,1994984,0,32,16,512,0,20010172,1250898,8512,0,2308,60000,2316,0,0,22371232,57233,2316
