# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 12587cfe3d830c41
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,gld_inst_8bit,gld_inst_16bit,gld_inst_32bit,gld_inst_64bit,gld_inst_128bit,gst_inst_8bit,gst_inst_16bit,gst_inst_32bit,gst_inst_64bit,gst_inst_128bit,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,threads instruction executed,dram reads,dram writes
125a3923fdf0bda0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1353.31,4.065,0.667,5,1,1,32,16,1,21200,0,32,0,-1,,0,0,0,23520,0,0,0,0,2560,0,0,2909,3222,248,16,1426,295,1,2979,14616,125,2914,160,667,38,169174,248,168830,0,32,16,512,0,15138298,946122,7536,0,3988,47245,3960,0,0,2472740,47452,3960
125a3923fe05ca60,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1353.63,4.096,0.667,6,1,1,32,16,1,21200,0,32,0,-1,,0,0,0,28224,0,0,0,0,3072,0,0,2909,3222,248,16,1426,295,1,2984,14616,124,2914,160,668,38,169174,248,168830,0,32,16,512,0,15131042,946129,9076,0,4456,47824,4904,0,0,2472740,45212,4904
125a3923fe1ad820,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1353.15,4.072,0.667,7,1,1,32,16,1,21200,0,32,0,-1,,0,0,0,32928,0,0,0,0,3584,0,0,2909,3222,248,16,1426,295,1,2986,14616,125,2909,160,674,38,169185,248,168830,0,32,16,512,0,15132579,945622,10648,0,5668,48580,5656,0,0,2472740,48372,5656
125a3923fe2fed40,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1352.93,4.453,0.667,8,1,1,32,16,1,21200,0,32,0,-1,,0,0,0,37632,0,0,0,0,4096,0,0,2909,3222,248,16,1426,295,1,2998,14616,123,2919,160,664,37,169187,248,168830,0,32,16,512,0,15136057,946136,12224,0,6520,44716,6552,0,0,2472740,49029,6552
125a3923fe44fa40,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1353.15,4.222,0.667,9,1,1,32,16,1,21200,0,32,0,-1,,0,0,0,42336,0,0,0,0,4608,0,0,2909,3222,248,16,1426,295,1,3010,14616,118,2914,160,667,38,169208,248,168830,0,32,16,512,0,15141893,946588,13772,0,7372,49600,7328,0,0,2472740,49600,7328
125a3923fe5a0800,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1353.86,4.068,0.667,10,1,1,32,16,1,21200,0,32,0,-1,,0,0,0,47040,0,0,0,0,5120,0,0,2909,3222,248,16,1426,295,1,2996,14616,129,2909,160,670,38,169188,248,168830,0,32,16,512,0,15151376,947054,15368,0,8236,45697,8192,0,0,2472740,50320,8192
125a3923fe6f15e0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1354.21,4.002,0.667,11,1,1,32,16,1,21200,0,32,0,-1,,0,0,0,51744,0,0,0,0,5632,0,0,2909,3222,248,16,1426,295,1,2988,14616,130,2916,160,666,38,169192,248,168830,0,32,16,512,0,15163443,947740,16908,0,9064,51012,9116,0,0,2472740,51246,9116
125a3923fe845ca0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1355.74,18.039,0.667,12,1,1,32,16,1,21200,0,32,0,-1,,0,0,0,56448,0,0,0,0,6144,0,0,2909,3222,248,16,1426,295,1,2997,14616,121,2906,160,676,38,169191,248,168830,0,32,16,512,0,15172177,948249,18484,0,9928,52422,9916,0,0,2472740,48297,9916
125a3923fe9c2600,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1357.12,4.694,0.667,13,1,1,32,16,1,21200,0,32,0,-1,,0,0,0,61152,0,0,0,0,6656,0,0,2909,3222,248,16,1426,295,1,2984,14616,129,2913,160,670,38,169197,248,168830,0,32,16,512,0,15191318,949402,20008,0,10628,53141,10676,0,0,2472740,53947,10676
125a3923feb152e0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1358.72,4.129,0.667,14,1,1,32,16,1,21200,0,32,0,-1,,0,0,0,65856,0,0,0,0,7168,0,0,2909,3222,248,16,1426,295,1,2989,14616,125,2913,160,672,38,169212,249,168830,0,32,16,512,0,15208333,950669,21652,0,11612,50797,11616,0,0,2472740,55092,11616
