# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1257111b6672af38
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,sm_cta_launched,l1_shared_bank_conflict,divergent_branch
12586de2df2baa00,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1421.76,4.008,0.667,27,1,1,32,16,1,21200,0,32,0,-1,,0,29392,2,0,320
12586de2df41c2c0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1422.66,4.05,0.667,26,1,1,32,16,1,21200,0,32,0,-1,,0,29392,2,0,320
12586de2df57f000,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1413.44,4.315,0.667,25,1,1,32,16,1,21200,0,32,0,-1,,0,29392,2,0,320
12586de2df6deca0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1418.3,4.342,0.667,24,1,1,32,16,1,21200,0,32,0,-1,,0,29392,2,0,320
12586de2df83f820,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1426.34,3.993,0.667,23,1,1,32,16,1,21200,0,32,0,-1,,0,29402,2,0,320
12586de2df9a2440,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1419.58,4.078,0.667,22,1,1,32,16,1,21200,0,32,0,-1,,0,29402,2,0,321
12586de2dfb03360,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1423.74,4.047,0.667,21,1,1,32,16,1,21200,0,32,0,-1,,0,29392,2,0,320
12586de2dfc65380,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1411.49,3.93,0.667,20,1,1,32,16,1,21200,0,32,0,-1,,0,29392,2,0,320
12586de2dfdc4cc0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1415.62,4.444,0.667,19,1,1,32,16,1,21200,0,32,0,-1,,0,29392,2,0,320
12586de2dff24d40,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1414.66,4.075,0.667,18,1,1,32,16,1,21200,0,32,0,-1,,0,29402,2,0,321
12586de2e0084bc0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1413.5,4.426,0.667,17,1,1,32,16,1,21200,0,32,0,-1,,0,29402,2,0,321
12586de2e01e42c0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1407.3,4.014,0.667,16,1,1,32,16,1,21200,0,32,0,-1,,0,29402,2,0,321
12586de2e03424a0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1416.19,4.099,0.667,15,1,1,32,16,1,21200,0,32,0,-1,,0,29402,2,0,321
12586de2e04a26c0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1357.09,3.987,0.667,14,1,1,32,16,1,21200,0,32,0,-1,,0,14696,1,0,160
12586de2e05fd560,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1355.39,4.279,0.667,13,1,1,32,16,1,21200,0,32,0,-1,,0,14696,1,0,160
12586de2e074ec60,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1354.18,3.903,0.667,12,1,1,32,16,1,21200,0,32,0,-1,,0,14696,1,0,160
12586de2e089fd80,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1353.76,4.156,0.667,11,1,1,32,16,1,21200,0,32,0,-1,,0,14696,1,0,160
12586de2e09f0d80,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1353.47,4.117,0.667,10,1,1,32,16,1,21200,0,32,0,-1,,0,14696,1,0,160
12586de2e0b41c60,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1353.31,4.342,0.667,9,1,1,32,16,1,21200,0,32,0,-1,,0,14696,1,0,160
