# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 12587cf5013eecb8
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,l1_shared_bank_conflict
12592d0ddd8a6360,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1353.31,4.186,0.667,4,1,1,32,16,1,21200,0,32,0,-1,,0,0
12592d0ddd9f79c0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1353.5,4.892,0.667,5,1,1,32,16,1,21200,0,32,0,-1,,0,0
12592d0dddb48ba0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1353.47,4.12,0.667,6,1,1,32,16,1,21200,0,32,0,-1,,0,0
12592d0dddc99920,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1353.31,4.062,0.667,7,1,1,32,16,1,21200,0,32,0,-1,,0,0
12592d0ddddea700,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1353.02,4.014,0.667,8,1,1,32,16,1,21200,0,32,0,-1,,0,0
12592d0dddf3c000,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1353.12,4.429,0.667,9,1,1,32,16,1,21200,0,32,0,-1,,0,0
12592d0dde08cd40,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1353.18,4.056,0.667,10,1,1,32,16,1,21200,0,32,0,-1,,0,0
12592d0dde1ddc80,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1354.18,4.05,0.667,11,1,1,32,16,1,21200,0,32,0,-1,,0,0
12592d0dde32ece0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1354.91,4.072,0.667,12,1,1,32,16,1,21200,0,32,0,-1,,0,0
12592d0dde4d7b60,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1365.25,5.115,0.667,13,1,1,32,16,1,21200,0,32,0,-1,,0,0
12592d0dde63b1a0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1364.9,4.327,0.667,14,1,1,32,16,1,21200,0,32,0,-1,,0,0
12592d0dde790b20,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1417.47,4.541,0.667,15,1,1,32,16,1,21200,0,32,0,-1,,0,0
12592d0dde8f1620,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1420.26,4.276,0.667,16,1,1,32,16,1,21200,0,32,0,-1,,0,0
12592d0ddea528a0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1415.52,4.068,0.667,17,1,1,32,16,1,21200,0,32,0,-1,,0,0
12592d0ddebb2c20,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1418.14,4.177,0.667,18,1,1,32,16,1,21200,0,32,0,-1,,0,0
12592d0dded136e0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1419.42,4.062,0.667,19,1,1,32,16,1,21200,0,32,0,-1,,0,0
